,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
0,350000,1,0.0011666666666666668,0.0011666678333333332,408.33333333333337,408.33374166666664
1,30240350000,86401,100.80233333333334,100.80243413566666,35280816.66666667,35280851.94748333
2,60480350000,172801,302.4035,302.4038024035,105841225.0,105841330.841225
3,90720350000,259201,604.8046666666667,604.8052714713333,211681633.33333334,211681845.01496667
4,120960350000,345601,1008.0058333333334,1008.0068413391666,352802041.6666667,352802394.46870834
5,151200350000,432001,1512.007,1512.008512007,529202450.0,529202979.20245004
6,181440350000,518401,2116.8081666666667,2116.8102834748333,740882858.3333334,740883599.2161916
7,211680350000,604801,2822.4093333333335,2822.4121557426665,987843266.6666667,987844254.5099332
8,241920350000,691201,3628.8105,3628.8141288105,1270083675.0,1270084945.083675
9,272160350000,777601,4536.011666666666,4536.016202678333,1587604083.3333333,1587605670.9374166
10,302400350000,864001,5544.012833333333,5544.018377346166,1940404491.6666665,1940406432.071158
11,332640350000,950401,991.1988333333334,991.1998245321666,346919591.6666667,346919938.58625835
12,362880350000,1036801,890.3988333333333,890.3997237321665,311639591.6666666,311639903.30625826
13,393120350000,1123201,789.5988333333333,789.5996229321667,276359591.6666667,276359868.02625835
14,423360350000,1209601,688.7988333333333,688.7995221321665,241079591.66666666,241079832.7462583
15,453600350000,1296001,587.9988333333333,587.9994213321667,205799591.66666666,205799797.46625832
16,483840350000,1382401,487.1988333333333,487.1993205321666,170519591.66666666,170519762.18625832
17,514080350000,1468801,386.39883333333336,386.39921973216667,135239591.6666667,135239726.90625834
18,544320350000,1555201,285.59883333333335,285.5991189321667,99959591.66666667,99959691.62625834
19,574560350000,1641601,184.79883333333333,184.79901813216665,64679591.666666664,64679656.34625833
20,604800350000,1728001,83.99883333333334,83.99891733216667,29399591.666666668,29399621.066258334
