,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
0,350000,1,0.0023333333333333335,0.0023333356666666665,816.6666666666667,816.6674833333333
1,30240350000,86401,201.60233333333332,201.60253493566663,70560816.66666666,70560887.22748332
2,60480350000,172801,403.20233333333334,403.20273653566665,141120816.66666666,141120957.78748333
3,90720350000,259201,604.8023333333333,604.8029381356666,211680816.66666666,211681028.34748334
4,120960350000,345601,806.4023333333333,806.4031397356666,282240816.6666667,282241098.90748334
5,151200350000,432001,1008.0023333333334,1008.0033413356666,352800816.6666667,352801169.46748334
6,181440350000,518401,1209.6023333333333,1209.6035429356666,423360816.6666666,423361240.0274833
7,211680350000,604801,1411.2023333333334,1411.2037445356666,493920816.6666667,493921310.5874833
8,241920350000,691201,1612.8023333333333,1612.8039461356666,564480816.6666666,564481381.1474833
9,272160350000,777601,1814.4023333333334,1814.4041477356666,635040816.6666667,635041451.7074833
10,302400350000,864001,2016.0023333333334,2016.0043493356666,705600816.6666666,705601522.2674834
11,332640350000,950401,2217.6023333333333,2217.6045509356663,776160816.6666666,776161592.8274832
12,362880350000,1036801,2419.202333333333,2419.204752535666,846720816.6666666,846721663.3874831
13,393120350000,1123201,2620.8023333333335,2620.804954135667,917280816.6666667,917281733.9474834
14,423360350000,1209601,2822.4023333333334,2822.4051557356665,987840816.6666667,987841804.5074832
15,453600350000,1296001,3024.0023333333334,3024.0053573356663,1058400816.6666666,1058401875.0674832
16,483840350000,1382401,3225.6023333333333,3225.6055589356665,1128960816.6666667,1128961945.6274834
17,514080350000,1468801,3427.202333333333,3427.2057605356663,1199520816.6666665,1199522016.1874833
18,544320350000,1555201,3628.8023333333335,3628.8059621356665,1270080816.6666667,1270082086.7474833
19,574560350000,1641601,3830.4023333333334,3830.4061637356663,1340640816.6666667,1340642157.3074832
20,604800350000,1728001,4032.0023333333334,4032.0063653356665,1411200816.6666667,1411202227.8674834
