,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
0,350000,1,0.0011666666666666668,0.0011666678333333332,408.33333333333337,408.33374166666664
1,30240350000,86401,100.80233333333334,100.80243413566666,35280816.66666667,35280851.94748333
2,60480350000,172801,302.4035,302.4038024035,105841225.0,105841330.841225
3,90720350000,259201,604.8046666666667,604.8052714713333,211681633.33333334,211681845.01496667
4,120960350000,345601,1008.0058333333334,1008.0068413391666,352802041.6666667,352802394.46870834
5,151200350000,432001,1512.007,1512.008512007,529202450.0,529202979.20245004
6,181440350000,518401,2116.8081666666667,2116.8102834748333,740882858.3333334,740883599.2161916
7,211680350000,604801,2822.4093333333335,2822.4121557426665,987843266.6666667,987844254.5099332
8,241920350000,691201,3628.8105,3628.8141288105,1270083675.0,1270084945.083675
9,272160350000,777601,4536.011666666666,4536.016202678333,1587604083.3333333,1587605670.9374166
10,302400350000,864001,5544.012833333333,5544.018377346166,1940404491.6666665,1940406432.071158
11,332640350000,950401,6652.814,6652.820652814,2328484900.0,2328487228.4849
12,362880350000,1036801,7862.415166666667,7862.423029081832,2751845308.3333335,2751848060.1786413
13,393120350000,1123201,9172.816333333334,9172.825506149667,3210485716.666667,3210488927.152384
14,423360350000,1209601,10584.0175,10584.028084017498,3704406125.0,3704409829.4061246
15,453600350000,1296001,12096.018666666667,12096.030762685332,4233606533.3333335,4233610766.939866
16,483840350000,1382401,13708.819833333333,13708.833542153165,4798086941.666667,4798091739.753608
17,514080350000,1468801,15422.421,15422.436422420998,5397847350.0,5397852747.847349
18,544320350000,1555201,17236.822166666665,17236.83940348883,6032887758.333333,6032893791.22109
19,574560350000,1641601,19152.023333333334,19152.042485356666,6703208166.666667,6703214869.874833
20,604800350000,1728001,21168.0245,21168.045668024497,7408808575.0,7408815983.808574
21,635040350000,1814401,23284.825666666668,23284.84895149233,8149688983.333334,8149697133.022316
22,665280350000,1900801,2082.398833333333,2082.400915732166,728839591.6666666,728840320.5062581
23,695520350000,1987201,1981.5988333333332,1981.6008149321665,693559591.6666666,693560285.2262583
24,725760350000,2073601,1880.7988333333333,1880.8007141321664,658279591.6666666,658280249.9462582
25,756000350000,2160001,1779.9988333333333,1780.0006133321665,622999591.6666666,623000214.6662582
26,786240350000,2246401,1679.1988333333334,1679.2005125321666,587719591.6666666,587720179.3862584
27,816480350000,2332801,1578.3988333333334,1578.4004117321667,552439591.6666667,552440144.1062584
28,846720350000,2419201,1477.5988333333332,1477.6003109321664,517159591.6666666,517160108.82625824
29,876960350000,2505601,1376.7988333333333,1376.8002101321665,481879591.6666666,481880073.5462583
30,907200350000,2592001,1275.9988333333333,1276.0001093321666,446599591.6666667,446600038.2662583
31,937440350000,2678401,1175.1988333333334,1175.2000085321665,411319591.6666667,411320002.98625827
32,967680350000,2764801,1074.3988333333334,1074.3999077321666,376039591.6666667,376039967.7062583
33,997920350000,2851201,973.5988333333333,973.5998069321666,340759591.6666667,340759932.4262583
34,1028160350000,2937601,872.7988333333333,872.7997061321665,305479591.6666666,305479897.1462583
35,1058400350000,3024001,771.9988333333333,771.9996053321665,270199591.6666667,270199861.86625826
36,1088640350000,3110401,671.1988333333334,671.1995045321667,234919591.6666667,234919826.58625832
37,1118880350000,3196801,570.3988333333333,570.3994037321665,199639591.66666666,199639791.3062583
38,1149120350000,3283201,469.59883333333335,469.59930293216667,164359591.66666666,164359756.02625832
39,1179360350000,3369601,368.79883333333333,368.7992021321666,129079591.66666667,129079720.74625832
40,1209600350000,3456001,267.9988333333333,267.9991013321666,93799591.66666666,93799685.46625832
41,1239840350000,3542401,167.19883333333334,167.19900053216665,58519591.66666667,58519650.18625833
42,1270080350000,3628801,66.39883333333333,66.39889973216665,23239591.666666664,23239614.90625833
