Uranus One Clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,
0,350000,30240350000,60480350000,90720350000,1.2096E+11,1.512E+11,1.8144E+11,2.1168E+11,2.4192E+11,2.7216E+11,3.024E+11,3.3264E+11,3.6288E+11,3.9312E+11,4.2336E+11,4.536E+11,4.8384E+11,5.1408E+11,5.4432E+11,5.7456E+11,6.048E+11,6.3504E+11,6.6528E+11,6.9552E+11,7.2576E+11,7.56E+11,7.8624E+11,8.1648E+11,8.4672E+11,8.7696E+11,9.072E+11,9.3744E+11,9.6768E+11,9.9792E+11,1.02816E+12,1.0584E+12,1.08864E+12,1.11888E+12,1.14912E+12,1.17936E+12,1.2096E+12,1.23984E+12,1.27008E+12,1.30032E+12,1.33056E+12,1.3608E+12,1.39104E+12,1.42128E+12,1.45152E+12,1.48176E+12,1.512E+12,1.54224E+12,1.57248E+12,1.60272E+12,1.63296E+12,1.6632E+12,1.69344E+12,1.72368E+12,1.75392E+12,1.78416E+12,1.8144E+12,1.84464E+12,1.87488E+12,1.90512E+12,1.93536E+12,1.9656E+12,1.99584E+12,2.02608E+12,2.05632E+12,2.08656E+12,2.1168E+12,2.14704E+12,2.17728E+12,2.20752E+12,2.23776E+12,2.268E+12,2.29824E+12,2.32848E+12,2.35872E+12,2.38896E+12,2.4192E+12,2.44944E+12,2.47968E+12,2.50992E+12,2.54016E+12,2.5704E+12,2.60064E+12,2.63088E+12,2.66112E+12,2.69136E+12,2.7216E+12,,,
1,1,86401,172801,259201,345601,432001,518401,604801,691201,777601,864001,950401,1036801,1123201,1209601,1296001,1382401,1468801,1555201,1641601,1728001,1814401,1900801,1987201,2073601,2160001,2246401,2332801,2419201,2505601,2592001,2678401,2764801,2851201,2937601,3024001,3110401,3196801,3283201,3369601,3456001,3542401,3628801,3715201,3801601,3888001,3974401,4060801,4147201,4233601,4320001,4406401,4492801,4579201,4665601,4752001,4838401,4924801,5011201,5097601,5184001,5270401,5356801,5443201,5529601,5616001,5702401,5788801,5875201,5961601,6048001,6134401,6220801,6307201,6393601,6480001,6566401,6652801,6739201,6825601,6912001,6998401,7084801,7171201,7257601,7344001,7430401,7516801,7603201,7689601,7776001,,,
2,0.001166667,100.8011667,201.6011667,302.4011667,403.2011667,504.0011667,604.8011667,705.6011667,806.4011667,907.2011667,1008.001167,1108.801167,1209.601167,1310.401167,1411.201167,1512.001167,1612.801167,1713.601167,1814.401167,1915.201167,2016.001167,2116.801167,2217.601167,2318.401167,2419.201167,2520.001167,2620.801167,2721.601167,2822.401167,2923.201167,3024.001167,3124.801167,3225.601167,3326.401167,3427.201167,3528.001167,3628.801167,3729.601167,3830.401167,3931.201167,4032.001167,4132.801167,4233.601167,4334.401167,4435.201167,4536.001167,4636.801167,4737.601167,4838.401167,4939.201167,5040.001167,5140.801167,5241.601167,5342.401167,5443.201167,5544.001167,5644.801167,5745.601167,5846.401167,5947.201167,6048.001167,6148.801167,6249.601167,6350.401167,6451.201167,6552.001167,6652.801167,6753.601167,6854.401167,6955.201167,7056.001167,7156.801167,7257.601167,7358.401167,7459.201167,7560.001167,7660.801167,7761.601167,7862.401167,7963.201167,8064.001167,8164.801167,8265.601167,8366.401167,8467.201167,8568.001167,8668.801167,8769.601167,8870.401167,8971.201167,9072.001167,,AVG,4536.001167
3,408.3333333,35280408.33,70560408.33,105840408.3,141120408.3,176400408.3,211680408.3,246960408.3,282240408.3,317520408.3,352800408.3,388080408.3,423360408.3,458640408.3,493920408.3,529200408.3,564480408.3,599760408.3,635040408.3,670320408.3,705600408.3,740880408.3,776160408.3,811440408.3,846720408.3,882000408.3,917280408.3,952560408.3,987840408.3,1023120408,1058400408,1093680408,1128960408,1164240408,1199520408,1234800408,1270080408,1305360408,1340640408,1375920408,1411200408,1446480408,1481760408,1517040408,1552320408,1587600408,1622880408,1658160408,1693440408,1728720408,1764000408,1799280408,1834560408,1869840408,1905120408,1940400408,1975680408,2010960408,2046240408,2081520408,2116800408,2152080408,2187360408,2222640408,2257920408,2293200408,2328480408,2363760408,2399040408,2434320408,2469600408,2504880408,2540160408,2575440408,2610720408,2646000408,2681280408,2716560408,2751840408,2787120408,2822400408,2857680408,2892960408,2928240408,2963520408,2998800408,3034080408,3069360408,3104640408,3139920408,3175200408,,AVG,1587600408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranus Two Clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,
0,350000,30240350000,60480350000,90720350000,1.2096E+11,1.512E+11,1.8144E+11,2.1168E+11,2.4192E+11,2.7216E+11,3.024E+11,3.3264E+11,3.6288E+11,3.9312E+11,4.2336E+11,4.536E+11,4.8384E+11,5.1408E+11,5.4432E+11,5.7456E+11,6.048E+11,6.3504E+11,6.6528E+11,6.9552E+11,7.2576E+11,7.56E+11,7.8624E+11,8.1648E+11,8.4672E+11,8.7696E+11,9.072E+11,9.3744E+11,9.6768E+11,9.9792E+11,1.02816E+12,1.0584E+12,1.08864E+12,1.11888E+12,1.14912E+12,1.17936E+12,1.2096E+12,1.23984E+12,1.27008E+12,1.30032E+12,1.33056E+12,1.3608E+12,1.39104E+12,1.42128E+12,1.45152E+12,1.48176E+12,1.512E+12,1.54224E+12,1.57248E+12,1.60272E+12,1.63296E+12,1.6632E+12,1.69344E+12,1.72368E+12,1.75392E+12,1.78416E+12,1.8144E+12,1.84464E+12,1.87488E+12,1.90512E+12,1.93536E+12,1.9656E+12,1.99584E+12,2.02608E+12,2.05632E+12,2.08656E+12,2.1168E+12,2.14704E+12,2.17728E+12,2.20752E+12,2.23776E+12,2.268E+12,2.29824E+12,2.32848E+12,2.35872E+12,2.38896E+12,2.4192E+12,2.44944E+12,2.47968E+12,2.50992E+12,2.54016E+12,2.5704E+12,2.60064E+12,2.63088E+12,2.66112E+12,2.69136E+12,2.7216E+12,,,
1,1,86401,172801,259201,345601,432001,518401,604801,691201,777601,864001,950401,1036801,1123201,1209601,1296001,1382401,1468801,1555201,1641601,1728001,1814401,1900801,1987201,2073601,2160001,2246401,2332801,2419201,2505601,2592001,2678401,2764801,2851201,2937601,3024001,3110401,3196801,3283201,3369601,3456001,3542401,3628801,3715201,3801601,3888001,3974401,4060801,4147201,4233601,4320001,4406401,4492801,4579201,4665601,4752001,4838401,4924801,5011201,5097601,5184001,5270401,5356801,5443201,5529601,5616001,5702401,5788801,5875201,5961601,6048001,6134401,6220801,6307201,6393601,6480001,6566401,6652801,6739201,6825601,6912001,6998401,7084801,7171201,7257601,7344001,7430401,7516801,7603201,7689601,7776001,,,
2,0.002333333,201.6023333,403.2023333,604.8023333,806.4023333,1008.002333,1209.602333,1411.202333,1612.802333,1814.402333,2016.002333,2217.602333,2419.202333,2620.802333,2822.402333,3024.002333,3225.602333,3427.202333,3628.802333,3830.402333,4032.002333,4233.602333,4435.202333,4636.802333,4838.402333,5040.002333,5241.602333,5443.202333,5644.802333,5846.402333,6048.002333,6249.602333,6451.202333,6652.802333,6854.402333,7056.002333,7257.602333,7459.202333,7660.802333,7862.402333,8064.002333,8265.602333,8467.202333,8668.802333,8870.402333,9072.002333,9273.602333,9475.202333,9676.802333,9878.402333,10080.00233,10281.60233,10483.20233,10684.80233,10886.40233,11088.00233,11289.60233,11491.20233,11692.80233,11894.40233,12096.00233,12297.60233,12499.20233,12700.80233,12902.40233,13104.00233,13305.60233,13507.20233,13708.80233,13910.40233,14112.00233,14313.60233,14515.20233,14716.80233,14918.40233,15120.00233,15321.60233,15523.20233,15724.80233,15926.40233,16128.00233,16329.60233,16531.20233,16732.80233,16934.40233,17136.00233,17337.60233,17539.20233,17740.80233,17942.40233,18144.00233,,AVG,9072.002333
